Rate;kind;sex
"0,654545455";PA;Hombre
1;PA;Hombre
"0,898550725";PA;Hombre
"0,903614458";PA;Hombre
"0,883838384";PA;Hombre
"0,906148867";PA;Hombre
"0,607287449";PA;Mujer
"0,898876404";PA;Hombre
"0,861538462";PA;Hombre
"0,934579439";PA;Hombre
"0,894039735";PA;Hombre
"0,911680912";PA;Hombre
"0,846394984";PA;Hombre
"0,82278481";PA;Hombre
"0,833333333";PA;Mujer
"0,914454277";PA;Mujer
"0,853242321";PA;Mujer
"0,909090909";PA;Hombre
"0,877742947";PA;Hombre
"0,909090909";PA;Hombre
"0,879478827";PA;Hombre
"0,891364903";PA;Hombre
"0,815047022";PA;Hombre
"0,922190202";PA;Mujer
"0,872274143";PA;Mujer
"0,892857143";PA;Mujer
1;PA;Hombre
"0,898550725";PA;Mujer
"0,766283525";PA;Hombre
"0,888252149";PA;Hombre
0;PA;Hombre
"0,837988827";PA;Hombre
"0,897435897";PA;Mujer
"0,91152815";PA;Hombre
"0,814606742";PA;Hombre
"0,920245399";PA;Mujer
"0,911764706";PA;Hombre
"0,780669145";PA;Mujer
"0,895953757";PA;Hombre
"0,922619048";PA;Hombre
"0,968858131";PA;Mujer
1;PA;Hombre
"0,830769231";PA;Hombre
"0,806916427";PA;Hombre
"0,652818991";PA;Hombre
"0,906148867";PA;Hombre
"0,869565217";PA;Hombre
"0,914285714";PA;Hombre
"0,95709571";PA;Mujer
"0,776119403";PA;Hombre
"0,913978495";PA;Hombre
"0,938628159";PA;Hombre
"0,551470588";PA;Hombre
"0,796460177";PA;Hombre
"0,780346821";PA;Hombre
"0,828220859";PA;Hombre
"0,836120401";PA;Mujer
"0,865671642";PA;Mujer
"0,887573964";PA;Mujer
"0,943952802";PA;Hombre
"0,901408451";PA;Hombre
"0,953678474";PA;Hombre
"0,906593407";PA;Hombre
"0,870712401";PA;Hombre
"0,956072351";PA;Hombre
"0,895522388";PA;Mujer
"0,917721519";PA;Mujer
"0,984848485";PA;Mujer
"0,896057348";PA;Mujer
"0,84375";PA;Hombre
"0,887372014";PA;Mujer
"0,72555205";PA;Hombre
"0,772058824";PA;Hombre
"0,838709677";PA;Hombre
"0,95";PA;Hombre
"0,836012862";PA;Mujer
1;PA;Hombre
"0,950920245";PA;Hombre
"0,985915493";PA;Mujer
"0,874635569";PA;Hombre
"0,896860987";PA;Mujer
"0,886426593";PA;Hombre
"0,970149254";PA;Hombre
"0,995260664";PA;Mujer
"0,874635569";PA;Hombre
"0,740740741";PA;Hombre
"0,862068966";PA;Hombre
"0,861111111";PA;Hombre
"0,963541667";PA;Hombre
"0,789473684";PA;Hombre
"0,756302521";PA;Hombre
"0,930232558";PA;Mujer
"0,778443114";PA;Hombre
"0,838709677";PA;Hombre
"0,923076923";PA;Hombre
"0,764119601";PA;Hombre
"0,78369906";PA;Hombre
"0,961538462";PA;Hombre
"0,903954802";PA;Hombre
"0,827586207";PA;Mujer
"0,925925926";PA;Mujer
"0,94972067";PA;Mujer
"0,912052117";PA;Hombre
"0,885245902";PA;Hombre
"0,879120879";PA;Hombre
"0,858895706";PA;Hombre
"0,975609756";PA;Hombre
"0,761589404";PA;Hombre
"0,839416058";PA;Mujer
"0,769230769";PA;Mujer
"0,819112628";PA;Mujer
"0,881355932";PA;Mujer
"0,888252149";PA;Hombre
1;PA;Mujer
"0,84548105";PA;Hombre
"0,813253012";PA;Hombre
"0,795107034";PA;Hombre
"0,810810811";PA;Hombre
"0,779661017";PA;Mujer
"0,858725762";PA;Hombre
"0,984042553";PA;Mujer
"0,852941176";PA;Hombre
"0,789473684";PA;Mujer
"0,911680912";PA;Hombre
"0,930930931";PA;Hombre
"0,911680912";PA;Mujer
"0,890804598";PA;Hombre
"0,89673913";PA;Hombre
"0,916442049";PA;Hombre
"0,488721805";PA;Hombre
"0,939947781";PA;Hombre
"0,927152318";PA;Mujer
"0,879765396";PA;Mujer
"0,975609756";PA;Mujer
"0,981308411";PA;Mujer
"0,918727915";PA;Mujer
"0,881458967";PA;Mujer
"0,906432749";PA;Mujer
"0,797342193";PA;Mujer
"0,771604938";PA;Mujer
"0,838926174";PA;Mujer
"0,928571429";PA;Mujer
"0,934579439";PA;Mujer
"0,924369748";PA;Mujer
"0,956937799";PA;Mujer
"0,864197531";PA;Mujer
"0,82278481";PA;Mujer
"0,902255639";PA;Mujer
"0,819112628";PA;Mujer
"0,681003584";PA;Mujer
"0,784313725";PA;Mujer
"0,953678474";PA;Mujer
"0,903790087";PA;Mujer
"0,841121495";PA;Mujer
"0,857988166";PA;Hombre
"0,874125874";PA;Mujer
"0,847457627";PA;Hombre
"0,848484848";PA;Hombre
"0,881057269";PA;Mujer
"0,882352941";PA;Mujer
"0,912162162";PA;Mujer
"0,827586207";PA;Mujer
"0,967741935";PA;Mujer
"0,903225806";PA;Mujer
"0,956521739";PA;Hombre
"0,773809524";PA;Mujer
"0,94224924";PA;Hombre
"0,838709677";PA;Mujer
"0,94017094";PA;Mujer
"0,873239437";PA;Hombre
"0,588235294";PA;Hombre
"0,833333333";PA;Hombre
"0,68627451";PA;Hombre
"0,979827089";PA;Hombre
"0,872483221";PA;Mujer
"0,912280702";PA;Mujer
"0,853242321";PA;Mujer
"0,841423948";PA;Mujer
"0,772058824";PA;Mujer
"0,968660969";PA;Mujer
"0,950920245";PA;Mujer
"0,82781457";PA;Mujer
"0,766773163";PA;Mujer
"0,823529412";PA;Mujer
"0,620437956";PA;Mujer
"0,909090909";PA;Mujer
"0,724137931";PA;Mujer
"0,787878788";PA;Mujer
"0,944625407";PA;Mujer
"0,847457627";PA;Mujer
"0,67114094";PA;Mujer
"0,795847751";PA;Mujer
"0,950819672";PA;Mujer
"0,766773163";PA;Mujer
"0,664206642";PA;Mujer
"0,917721519";PA;Mujer
"0,761904762";PA;Mujer
"0,888888889";PA;Hombre
"0,797101449";PA;Mujer
"0,909090909";PA;Hombre
"0,659722222";PA;Hombre
"0,829875519";PA;Mujer
"0,666666667";PA;Mujer
"0,835820896";PA;Mujer
"0,847457627";PA;Mujer
"0,865051903";PA;Mujer
"0,914285714";PA;Mujer
"0,785498489";PA;Hombre
"0,945454545";PA;Mujer
"0,945454545";PA;Hombre
"0,858369099";PA;Mujer
"0,906666667";PA;Mujer
"0,751445087";PA;Hombre
"0,838509317";PA;Hombre
"0,802919708";PA;Hombre
"0,838926174";PA;Hombre
"0,694006309";PA;Hombre
"0,943396226";PA;Mujer
"0,885245902";PA;Mujer
1;PA;Mujer
"0,702875399";PA;Mujer
"0,921052632";PA;Mujer
"0,859106529";PA;Mujer
"0,857142857";PA;Mujer
"0,902255639";PA;Mujer
"0,912052117";PA;Mujer
"0,843881857";PA;Mujer
"0,877192982";PA;Mujer
"0,898203593";PA;Mujer
"0,966542751";PA;Mujer
"0,912162162";PA;Mujer
"0,882352941";PA;Mujer
"0,856269113";PA;Mujer
"0,530973451";PA;Mujer
"0,962199313";PA;Mujer
"0,949367089";PA;Mujer
"0,914826498";PA;Mujer
"0,869565217";PA;Mujer
"0,880503145";PA;Mujer
"0,759878419";PA;Hombre
"0,788381743";PA;Mujer
"0,824742268";PA;Hombre
"0,911764706";PA;Hombre
"0,984615385";PA;Mujer
"0,798611111";PA;Mujer
"0,929577465";PA;Mujer
"0,784982935";PA;Mujer
"0,617283951";PA;Mujer
"0,926517572";PA;Mujer
"0,975609756";PA;Hombre
"0,977917981";PA;Mujer
"0,906666667";PA;Hombre
"0,815602837";PA;Mujer
"0,955223881";PA;Mujer
"0,815217391";PA;Hombre
"0,780141844";PA;Hombre
"0,719178082";PA;Mujer
"0,82437276";PA;Mujer
"0,890585242";PA;Hombre
"0,906735751";PA;Hombre
"0,833333333";PA;Hombre
"0,922619048";PA;Hombre
"0,838509317";PA;Mujer
"0,921348315";PA;Hombre
"0,854700855";PA;Hombre
"0,759075908";PA;Hombre
"0,921409214";PA;Hombre
"0,776397516";PA;Mujer
"0,141818182";PC;Hombre
0;PC;Hombre
0;PC;Hombre
"0,06626506";PC;Hombre
"0,095959596";PC;Hombre
"0,093851133";PC;Hombre
"0,28340081";PC;Mujer
"0,019662921";PC;Hombre
"0,138461538";PC;Hombre
"0,009345794";PC;Hombre
"0,049668874";PC;Hombre
"0,002849003";PC;Hombre
"0,109717868";PC;Hombre
"0,151898734";PC;Hombre
"0,0625";PC;Mujer
"0,085545723";PC;Mujer
"0,129692833";PC;Mujer
"0,082111437";PC;Hombre
"0,109717868";PC;Hombre
"0,090909091";PC;Hombre
"0,055374593";PC;Hombre
"0,094707521";PC;Hombre
"0,090909091";PC;Hombre
"0,020172911";PC;Mujer
"0,096573209";PC;Mujer
"0,098214286";PC;Mujer
0;PC;Hombre
"0,014492754";PC;Mujer
"0,072796935";PC;Hombre
"0,077363897";PC;Hombre
1;PC;Hombre
"0,081005587";PC;Hombre
"0,102564103";PC;Mujer
"0,085790885";PC;Hombre
"0,129213483";PC;Hombre
"0,079754601";PC;Mujer
"0,079411765";PC;Hombre
"0,171003717";PC;Mujer
"0,080924855";PC;Hombre
"0,077380952";PC;Hombre
"0,031141869";PC;Mujer
0;PC;Hombre
"0,147692308";PC;Hombre
"0,190201729";PC;Hombre
"0,148367953";PC;Hombre
"0,042071197";PC;Hombre
"0,114906832";PC;Hombre
"0,085714286";PC;Hombre
"0,01980198";PC;Mujer
"0,146268657";PC;Hombre
"0,080645161";PC;Hombre
"0,039711191";PC;Hombre
"0,172794118";PC;Hombre
"0,041297935";PC;Hombre
"0,092485549";PC;Hombre
"0,107361963";PC;Hombre
"0,100334448";PC;Mujer
"0,095522388";PC;Mujer
"0,017751479";PC;Mujer
"0,03539823";PC;Hombre
"0,073239437";PC;Hombre
"0,005449591";PC;Hombre
"0,010989011";PC;Hombre
"0,052770449";PC;Hombre
"0,043927649";PC;Hombre
"0,067164179";PC;Mujer
"0,066455696";PC;Mujer
"0,003787879";PC;Mujer
"0,064516129";PC;Mujer
"0,078125";PC;Hombre
"0,112627986";PC;Mujer
"0,164037855";PC;Hombre
"0,154411765";PC;Hombre
"0,080645161";PC;Hombre
"0,0425";PC;Hombre
"0,109324759";PC;Mujer
0;PC;Hombre
"0,027607362";PC;Hombre
"0,014084507";PC;Mujer
"0,008746356";PC;Hombre
"0,035874439";PC;Mujer
"0,033240997";PC;Hombre
"0,027363184";PC;Hombre
0;PC;Mujer
"0,008746356";PC;Hombre
"0,161616162";PC;Hombre
"0,083333333";PC;Hombre
"0,066666667";PC;Hombre
"0,015625";PC;Hombre
"0,125";PC;Hombre
"0,121848739";PC;Hombre
"0,029900332";PC;Mujer
"0,074850299";PC;Hombre
"0,025806452";PC;Hombre
"0,076923077";PC;Hombre
"0,146179402";PC;Hombre
"0,081504702";PC;Hombre
"0,024725275";PC;Hombre
"0,096045198";PC;Hombre
"0,148275862";PC;Mujer
"0,055555556";PC;Mujer
"0,01396648";PC;Mujer
"0,087947883";PC;Hombre
"0,006557377";PC;Hombre
"0,104395604";PC;Hombre
"0,082822086";PC;Hombre
